severity,section,addr,type_note,current_replace,proposed_fix
medium,story,0807D28E,Virtual Girl victory scene. JP first window 'ヴァーチャル・ガール：{n}おめでとー！{n}{WAIT}' = 'Virtual Girl:{n}Congratulations!'. EN renders this window as just 'Virtual Girl:{WAIT}{PAGE}' — the greeting 'おめでとー！' is dropped entirely (it never appears in the following window either). Result is a near-empty speaker-only window plus genuine content loss. Fix restores the line within the same {WAIT}{PAGE} boundary.,"＞{PARTY_NAME}{n}{ITEM_NAME} obtained!{WAIT}{PAGE}{=040300001f000350}Okamoto: OK, good job!{n}Stop there!{WAIT}{PAGE}{=2b030000}{=08041a00}{=0f0324320708}{=03035a00}{=0a040001}{=0c035b002cd30708}{=0c035a0022d30708}{=0c03590018d30708}{=0c0358000ed30708}{=0803d700}{=0f03e4d00708}{=0803fa00}{=0f03e4d00708}{=0803a300}{=0f03e4d00708}{=0803b900}{=0f03e4d00708}{=08035800}{=0f03e4d00708}{=03035a00}{=0a040001}{=0c035b0086d30708}{=0c035a007cd30708}{=0c03590072d30708}{=0c03580068d30708}{=0803cb00}{=0f03e4d00708}{=0803c300}{=0f03e4d00708}{=0803b000}{=0f03e4d00708}{=0803f200}{=0f03e4d00708}{=08036300}{=0f03e4d00708}{=03035a00}{=0a040001}{=0c035b00e0d30708}{=0c035a00d6d30708}{=0c035900ccd30708}{=0c035800c2d30708}{=0803d300}{=0f03e4d30708}{=0803c200}{=0f03e4d30708}{=0803af00}{=0f03e4d30708}{=0803c700}{=0f03e4d30708}{=08036200}{=09030000}{=10030000}{=08045800}{=07030000}{=21040300}{=58034000}{=03037e00}{=0403000000000350}Virtual Girl:{WAIT}{PAGE}{DEMON_NAME} is down!{n}You're a true Virtual Master!{WAIT}{PAGE}Nothing can scare you now! …In virtual space, anyway…{WAIT}{PAGE}{=2b030000}{=0f03dec60708}{=05030c00}{=0403000000000350}So, you{n}were the Savior of us{n}mutants all along!{WAIT}",Virtual Girl:{n}Congratulations!{WAIT}{PAGE}
medium,story,08096520,"JP 'よかよか' is a pleased/accepting Kyushu-dialect interjection ('fine, fine' / 'good, good'). EN 'Wantttt' is garbled and bears no relation to the source — it conveys 'wanting', which is absent from the JP. Clear mistranslation/corruption, not localization. (Shared addr 0809685E gets the same wrong text.)",Wantttt,"Fine, fine."
medium,dialogue,08093106,"JP 'よかよか' = approving/accepting interjection ('good, good' / 'all right, all right'). EN 'Wantttt' is garbled nonsense with no basis in the source — same corruption as the story copy at 08096520. Clear mistranslation, not localization. Within budget (max 5; 'Good, good!' is 10 chars but half-width fits ~5-token JP slot — keep concise).",Wantttt,"Fine, fine"
medium,dialogue,0809353A,"JP is only 貴様！ (""You!"") + full-width space + {n}. The EN appends ""You're a minion of the Mesians, aren't you!"", which is verbatim the EN of the adjacent separate entry 08093546 (メシアンの手先だな！). Confirmed: that clause occurs only on 08093546 legitimately and here as a leaked duplicate with no JP basis. Real hallucination/duplicate.","You! You're a minion{n}of the Mesians, aren't{n}you!",You!　{n}
medium,dialogue,0809CB4E,"JP ようしゃはせん！ = 'I won't show mercy / won't hold back!'. EN 'I won't let back!' is not valid English ('let back' is not a phrase) and conveys no coherent meaning, so the player reads a non-sentence. This misrepresents the JP rather than being a stylistic localization choice.",I won't let back!,I won't hold back!
medium,dialogue,0809DE22,"JP is the bare rough-form fragment 貴様 ('You...'). Its polite twin at 0809DE18 (貴方は ) is correctly rendered just 'You'. This entry instead fabricates a full accusation ('You! You're a minion of the Mesians, aren't you!') with no basis in the one-word JP fragment. Invented content.","You! You're a minion{n}of the Mesians, aren't{n}you!",You
low,story,08022802,"Confirmed. JP 'テンプルナイト：{n}うっ！{WAIT}' but EN renders 'Temple Knight:{WAIT}' with no text and no {n}. The pained grunt 'うっ！' (Ugh!) is dropped, leaving an empty speaker-labeled window ('Temple Knight:' followed by nothing) drawn on screen. Verified the JP/EN strings exactly in story.json (entry idx 6). The {=04030000c8010a28}/{=0403...} ops here are portrait/position switches (page_reset=false), not name boxes, so the on-screen speaker comes from the inline label only.","Temple Knight:{WAIT}{PAGE}{=04030000c8010a28}{=040341002e000a78}{HIROKO}:{n}How's that!{WAIT}{PAGE}{=52030400}{=04034000c8010a28}{=040301002e000a78}Temple Knight:{n}As expected of Lady {HIROKO}!{WAIT}{PAGE}You've bested me again.{WAIT}{PAGE}{=04030000c8010a28}{=040341002e000a78}{HIROKO}:{n}Hmph.{WAIT}{PAGE}{=04034000c8010a28}{=040301002e000a78}Temple Knight:{n}Let's end solo training here.{WAIT}{PAGE}Next, the Bishop will lecture{n}you on the Holy Doctrine.{WAIT}{PAGE}{=04030000c8010a28}{=040341002e000a78}{HIROKO}:{n}Honestly...{WAIT}{PAGE}{=08042200}{=2b03ff00}{=52031a00}{=0403000025000a28}{=04030100c8010a78}{=05030200}{=04034100c8010a78}Bishop:{n}...And thus God sent the strong{n}as Messiahs to His people.{WAIT}{PAGE}{=0403400025000a28}{=04030100c8010a78}{HIROKO}:{n}Hmmm...{WAIT}{PAGE}{=0403000025000a28}{=04034100c8010a78}Bishop:{n}Who could the Messiah be, I wonder...{n}Lady {HIROKO}?{WAIT}{PAGE}{=0403400025000a28}{=04030100c8010a78}{HIROKO}:{n}Who knows...{WAIT}{PAGE}{=08043500}{=0403000025000a28}{=04034100c8010a78}Bishop:{n}(Grins){WAIT}{PAGE}{=08043600}{=0403400025000a28}{=04030100c8010a78}{HIROKO}:{n}So the Messiah is wise.{WAIT}{PAGE}{=0403000025000a28}{=04034100c8010a78}Bishop:{n}Indeed. The Messiah is highly educated,{n}yet comes from the wilds.{WAIT}{PAGE}{=0403400025000a28}{=04030100c8010a78}{HIROKO}:{n}Yeah. So I've heard,{n}many times.{WAIT}{PAGE}{=0403000025000a28}{=04034100c8010a78}Bishop:{n}One day a pretender will claim the name... the Messiah will slay that Anti-Messiah{n}and save the people.{WAIT}{PAGE}{=0403400025000a28}{=04030100c8010a78}{HIROKO}:{n}So the Messiah is strong.{WAIT}{PAGE}{=0403000025000a28}{=04034100c8010a78}Bishop:{n}Indeed... Almost... just like...{n}Lady {HIROKO} herself.{WAIT}{PAGE}{=0403400025000a28}{=04030100c8010a78}{HIROKO}:{n}Hmmm...{WAIT}{PAGE}{=0403000025000a28}{=04034100c8010a78}Bishop:{n}The Messiah who saves the people is wiser than anyone,{n}stronger than anyone.{WAIT}{PAGE}{=0403400025000a28}{=04030100c8010a78}{HIROKO}:{n}...Is the Messiah the{n}humble type?{WAIT}{PAGE}{=0403000025000a28}{=04034100c8010a78}Bishop:{n}Hmm? Who can say? The prophecies make{n}no mention of that.{WAIT}{PAGE}But the Messiah is one{n}who preaches love.{WAIT}{PAGE}Never forget love.{WAIT}{PAGE}{=0403400025000a28}{=04030100c8010a78}{HIROKO}:{n}Hmmm...{n}So confidence is fine?{WAIT}{PAGE}{=0403000025000a28}{=04034100c8010a78}Bishop:{n}Well... Surely the Messiah has faith{n}in their own strength?{WAIT}{PAGE}{=0403400025000a28}{=04030100c8010a78}{HIROKO}:{n}Yeah, you're right...{WAIT}{PAGE}{=0403000025000a28}{=04034100c8010a78}Bishop:{n}Yes... the Messiah, surely...{n}(Grins){WAIT}{PAGE}{=2b03ff00}{=08042200}...{WAIT}",Temple Knight:{n}Ugh!{WAIT}{PAGE}
low,story,0803BF06,"Confirmed mistranslation + internal inconsistency. JP label 陽気な女 means 'cheerful/cheery woman'. This entry renders it 'Crazy Lady', but the identical NPC label 陽気な女 is translated 'Cheerful Woman' in 5 other entries (verified: 0803BC88, 0803C024, 0803C2E0, 0803C3EE, 08067A88). 'Crazy' is not a meaning of 陽気な and re-labels the same character. Real speaker-label error.","Crazy Lady: Congrats,{n}Hawk! The new champion!{n}You're so wonderful!{WAIT}{=2b030200}{=0403020034000030}","Cheerful Woman: Congrats,{n}Hawk! The new champion!{n}You're so wonderful!{WAIT}{=2b030200}{=0403020034000030}"
low,story,0804AC7E,"Confirmed minor hallucination. JP '……持物を減らしてきな' = '...Reduce what you're carrying and come back' (the blacksmith can't hand over the forged item because the player's inventory is full — see the give-item flow at sibling 0804ABDE). EN adds an invented closing line 'You won't regret it!', a fabricated reward promise with no basis in the JP. The added 'Smith:' speaker label is fine; only the invented promise is the bug. No rendering issue.",Smith: ...Drop something{n}and come back. You won't{n}regret it!{WAIT},Smith: ...Drop something{n}and come back.{WAIT}
low,story,0805E700,"Confirmed mistranslation of 薬屋 (kusuriya = apothecary/medicine seller). JP 'なぁ　薬屋のアヌーンさんって知ってるかい？' = 'Say, do you know Annwn the apothecary?'. EN renders her as 'from the dressing room' — likely a 薬屋/楽屋 (gakuya = dressing room) confusion. Annwn is the recurring fairy-town apothecary NPC, so this misstates who she is. Pure wording/content error, no rendering problem. Fix replaces only the misrendered clause inside the multi-page entry's Annwn page; all {n}/{WAIT}/{PAGE}/{=..} tokens elsewhere are unchanged.","Ex-Appraiser: Strong enough to use the Easter System now, eh.{n}{WAIT}{PAGE}Here's a Memory Chip for you.{n}{=0a031f01}{=7903}{WAIT}{PAGE}The Easter System means using Memory Chips to extract demons.{n}{WAIT}{PAGE}Likewise, the Halloween System can call special demons out of the Shin Megami Tensei demon dictionary.{n}{WAIT}{PAGE}The demon you call decides how many Memory Chips and how much Macca you need.{n}{WAIT}{PAGE}The demons you can call are shown in a list.{n}{WAIT}{PAGE}Pick a demon, and the Memory Chips and Macca required are displayed.{n}{WAIT}{PAGE}You can check the demon's info too, so confirm it if you're satisfied.{n}{WAIT}{PAGE}Extraction fails at times, and I can't return the chips or Macca if it does.{n}{WAIT}{PAGE}{=0f03f6c30508}{=68030300}{=03037e00}{=0403000016000350}{=05037400}{=0c035c012cea0508}{=12035c01}{PAGE}Ex-Appraiser: This is the fairies' town. Some of them love their pranks, but it's a nice place to live.{n}{WAIT}{PAGE}Eh? Appraisals? Quit that ages ago.{n}{WAIT}{PAGE}It's repairs now, repairs. Pays better, you see.{n}{WAIT}{PAGE}{=1004150088eb050888eb0508}{=0f03f6c30508}{PAGE}Come to think of it, a human man wandered in here long ago. His name was... Shay-something, was it?{n}{WAIT}{PAGE}{=0f0386eb0508}{PAGE}Say, you know Annwn, from the dressing room? Oh, if a girl like her were my gal... Ahh, Annwn...{n}{WAIT}{PAGE}{=0f0386eb0508}{PAGE}Let me share a little tip. Demons just love ""Gems"". If you've got some, don't go wasting them, alright?{n}{WAIT}{PAGE}","Say, you know Annwn, the apothecary? Oh, if a girl like her were my gal... Ahh, Annwn..."
low,story,0805EB8A,"Same 薬屋 mistranslation as 0805E700, different speaker variant. JP '妖精の街にいる薬屋のアヌーンに彼氏が出来たらしい…' = 'I hear Annwn the apothecary in the fairy town got a boyfriend...'. EN says 'the dressing-room girl', misstating her role. Wording/content error only. Fix replaces just the 'dressing-room girl' phrase in the Annwn page; surrounding structural tokens preserved.","Ex-Appraiser: Soo, you're strong enough to use the Easter System nowww.{n}{WAIT}{PAGE}Here, take a Memory Chip to celebraaate.{n}{=0a031f01}{=7903}{WAIT}{PAGE}The Easter System means extracting demons with Memory Chips and Maccaaa.{n}{WAIT}{PAGE}And the Halloween System can call special demons out of the Shin Megami Tensei demon dictionary, you knowww.{n}{WAIT}{PAGE}The demon you call decides how many Memory Chips and how much Macca you neeeed.{n}{WAIT}{PAGE}First the demons you can call show up in a liiist.{n}{WAIT}{PAGE}Pick one and it shows the Memory Chips and Macca requirrred.{n}{WAIT}{PAGE}You can see the demon's info toooo, so confirm it if you like iiit.{n}{WAIT}{PAGE}Extraction fails sometimes, but no refunds on the chips or the Maccaaa.{n}{WAIT}{PAGE}{=0f03f6c30508}{=68030400}{=03037e00}{=0403000016000350}{=05037400}{=0c035d01c8ee0508}{=12035d01}{PAGE}Ex-Appraiser: This here's an appraisal shop. Well, was. We've closed down.{n}{WAIT}{PAGE}Switched over to repairs just recently.{n}{WAIT}{PAGE}Got anything broken on you?{n}{WAIT}{PAGE}{=1004150014f0050814f00508}{=0f03f6c30508}{PAGE}This town's where the earth spirits live. Every spare minute, they're drinking. Lucky devils.{n}{WAIT}{PAGE}{=0f0312f00508}{PAGE}I hear Annwn, the dressing-room girl in the fairy town, got herself a boyfriend... And I had my eye on her...{n}{WAIT}{PAGE}{=0f0312f00508}{PAGE}Let me share a little tip. The -kaja spells can be stacked on top of each other. Handy in battle, that.{n}{WAIT}{PAGE}","I hear Annwn, the apothecary in the fairy town, got herself a boyfriend... And I had my eye on her..."
low,story,08066FA2,"Analyze-menu command. JP 'アイテム　解析' = 'Item Analyze'. EN reduces it to just 'Item', dropping the 解析='Analyze' verb. Its sibling '魔法　解析' (08066F8C) IS rendered 'Analyze Magic', proving 解析=Analyze and exposing the inconsistency; the bare 'Item' loses the analysis meaning. Sibling 'Analyze Magic' packs fine despite its small max, so 'Analyze Item' is in budget.",Item,Analyze Item
low,story,08068688,"MNN broadcast, final window. JP '{PAGE}彼の言う事を信じては{n}いけません' = 'You must not believe what he says.' EN window begins with a stray leading period ('. He is lying. ...') — the orphan '. ' is a genuine visible typographic artifact at the window start, and 'He is lying.' is an invented restatement (the lying/nonsense idea was already rendered in the immediately preceding window 'Everything he says is lies and nonsense.'). The leading-period artifact is the real defect; fix removes it (and the redundant pad sentence).",Today we must report some{n}truly regrettable news.{WAIT}{PAGE}The famed {ZAYIN} has{n}betrayed the Center.{WAIT}{PAGE}{ZAYIN} is spreading utterly baseless{n}rumors about the Center.{WAIT}{PAGE}This is a grave betrayal. Everything he says is lies{n}and nonsense.{WAIT}{PAGE}. He is lying. You must{n}not believe what he{n}tells you!{WAIT}{=52033f01}{=08043c00},{PAGE}You must{n}not believe what he{n}tells you!{WAIT}{=52033f01}{=08043c00}
low,story,0806A3DC,Duplicate of the 08068688 MNN broadcast. Same defect: the final window '{PAGE}彼の言う事を信じてはいけません' is rendered '{PAGE}. He is lying. You must...' with a stray orphan leading period and an invented 'He is lying.' restating the prior window's already-rendered 'lies and nonsense'. The orphan '. ' is the real visible artifact; fix removes it.,Today we must report some{n}truly regrettable news.{WAIT}{PAGE}The famed {ZAYIN} has{n}betrayed the Center.{WAIT}{PAGE}{ZAYIN} is spreading utterly baseless{n}rumors about the Center.{WAIT}{PAGE}This is a grave betrayal. Everything he says is lies{n}and nonsense.{WAIT}{PAGE}. He is lying. You must{n}not believe what he{n}tells you!{WAIT},{PAGE}You must{n}not believe what he{n}tells you!{WAIT}
low,story,0808AE9A,"Same entry renders the first identical 'スキだらけだ！' as '{DEMON_NAME}{n}is wide open!' (demon subject). The second 'スキだらけだ！' follows '{DEMON_NAME} is picking up the Macca' and precedes '>Attack?', so the distracted DEMON is the one wide open — but EN flips it to 'Ha, you're way open!' (player subject). Genuine subject reversal, not paraphrase; internally inconsistent with the line 6 lines earlier. Window structure is preserved either way (WAIT/PAGE intact).","…{SLOW}…{SLOW}…{SLOW}…{SLOW}…{n}{WAIT}{PAGE}{=ce038000dcae0808}{=ce038000e6ae0808}{=ce038000ecb50808}{=e2030600}{WAIT}{PAGE}{=e203ed00}{WAIT}{=e6030100}{=e2030600}{WAIT}{=e6030000}{=e203e100}{=4c04df00}{=4a040100}{WAIT}{=e6030600}{=d10302006caf0808}{=ce03400056af0808}{=e203c800}{WAIT}{PAGE}{DEMON_NAME}{n}tossed some Macca at your feet{WAIT}{PAGE}{=0f041700}{WAIT}{PAGE}>Take it?{=0f0314b20808}{PAGE}{=0f041900}{WAIT}{PAGE}{=d703000068af0808}{=e6030600}{=ce0380008caf0808}{=ce038000dcb50808}{PAGE}{=0f04ec00}{=4a04ff00}{WAIT}{=e6030600}{PAGE}{=0f04ed00}{=e0030100}{WAIT}{PAGE}{=0f03ac440808}{=e203ed00}{WAIT}{=e6030100}{=ce038000ceaf0808}{=ce034000e8af0808}{PAGE}{=0f040700}{WAIT}{PAGE}{=e2038f00}{WAIT}{=e6030100}{=ce038000a0af0808}{=e203e100}{WAIT}{PAGE}{=0f040f00}{WAIT}{=e6030600}{=e203e100}{WAIT}{PAGE}{=e2031b00}{=df030200}{=0e03ecb50808}{=d5030200d8b10808}{=e203e200}{WAIT}{PAGE}{=e2036100}{WAIT}{=e6030600}{=e2031d00}{=0e0332b00808}{PAGE}{=0f040700}{WAIT}{PAGE}{=0f03ac440808}{=d503020040b00808}{=0f03c2420808}{=0f031c510808}{PAGE}{=0f04c900}{=0e035cb00808}{=e2030100}{WAIT}{=e6030800}{=48040101a6b00808}{=e2033400}{WAIT}{PAGE}{=d1030200a2b00808}{DEMON_NAME}{n}is wide open!{WAIT}{PAGE}>Attack?{=0e039cb20808}{=e6030400}{PAGE}{=0f040600}{WAIT}{=e6030100}{=47040700c0b00808}{=0f034cb10808}{=4704080096b30808}{=0f03ceb00808}{PAGE}{=0f043a00}{=0e032ab10808}{=d10302000eb10808}{=ce0380001cb10808}{=ce03800002b10808}{PAGE}{=0f040700}{WAIT}{PAGE}{=0f03ac440808}{PAGE}{=0f045900}{WAIT}{=e6030000}{=ce038000dcb50808}{=0f031cb10808}{=e2035300}{=4c045800}{WAIT}{=e6030600}{=df030100}{=d5030100c2b30808}{=ce0380008eb40808}{=ce03800096b30808}{=0f03dab20808}{=e2033d00}{=0e0396b10808}{=d103020082b10808}{=ce03800076b10808}{PAGE}{=0f043200}{WAIT}{PAGE}{=0f03ac440808}{PAGE}{=0f043400}{WAIT}{=e6030600}{PAGE}{=0f043200}{WAIT}{PAGE}{=e2033500}{WAIT}{=e6030100}{=df030100}{=45040f00}{=d1030200c4b10808}{=ce034000b4b10808}{=0f038eb40808}{PAGE}{=0f044100}{=4a040100}{WAIT}{=e6030600}{=e3030100dccb0808}{PAGE}{=0f041300}{WAIT}{=e6030100}{=d503010008b20808}{=df030200}{PAGE}{=0f043300}{WAIT}{PAGE}{=e2031b00}{=0e03feb10808}{=0f03d8b10808}{=df030200}{=0f03fc490808}{PAGE}{=0f04eb00}{WAIT}{=e6030100}{=0e03b0b20808}{=d503020008b20808}{=ce03400036b20808}{PAGE}{=0f04ea00}{=0f0314b20808}{PAGE}{=0f04e700}{WAIT}{PAGE}{DEMON_NAME}{n}is picking up the Macca{WAIT}{PAGE}Ha, you're way open! …{WAIT}{PAGE}>Attack?{n}{=0e039cb20808}{PAGE}{=0f04e900}{WAIT}{PAGE}{=d703010098b20808}{=e6030600}{=4b040200}{=4a04fe00}{PAGE}{=0f04e800}{WAIT}{=e6030300}{=d5030100ceb20808}{PAGE}{=0f041900}{WAIT}{PAGE}{=d7030100cab20808}{=e6030600}{PAGE}{=0f041300}{WAIT}{=e6030200}{PAGE}{=0f04db00}{=4c04e400}{=4c04e000}{=0e030eb30808}{PAGE}{=0f043b00}{WAIT}{=4804010102b30808}{=e6030600}{PAGE}{=0f041300}{WAIT}{=e6030000}{=4204010070b3080880b30808}{=480402025cb30808}{=480402014ab30808}{=d50302004ab30808}{PAGE}{=0f045d00}{WAIT}{PAGE}{=e2036000}{WAIT}{PAGE}{=0f03ee410808}{=d10301005cb30808}{=e2037400}{WAIT}{=e6030800}{PAGE}{=0f045400}{WAIT}{PAGE}{=e2035500}{WAIT}{=e6030100}{PAGE}{=0f045400}{=e0030100}{WAIT}{=e6030600}{=48040102dcb50808}{=ce0310008eb40808}{=0f03ac440808}{=480402018eb40808}{=480402028eb40808}{=d5030200c2b30808}{=df030100}{PAGE}{=0f043900}{WAIT}{PAGE}{=0f03c4410808}{=d1030200ceb20808}{PAGE}{=0f044100}{=df030100}{WAIT}{=e6030600}{=df030100}{=e2032d00}{n}{=4c040a00}{=0e0300b40808}{=e2036500}{WAIT}{PAGE}{=e2036300}{WAIT}{=e6030600}{=4704010056b40808}{=df030100}{=d503030044b40808}{=4804020244b40808}{=4804020144b40808}{=e2033900}{WAIT}{PAGE}{=e2035f00}{WAIT}{PAGE}{=130300016100e0d6}区＝",{DEMON_NAME}{n}is picking up the Macca{WAIT}{PAGE}It's wide open!{WAIT}{PAGE}>Attack?{n}
low,story,0808BB78,"JP '＞何をする？' is a neutral action-selection menu prompt ('What will you do?'), matching the sibling prompts in the same dance scene: '＞何かやりますか→>Do something?' (0808BAF8) and '＞誰がやりますか→>Who will do it?' (0808B55E), both kept as '>' prompts. EN 'What are you doing!?' is an indignant exclamation — wrong meaning and drops the '＞' menu marker. (Same misrendering also at sibling 0808C34E.) Not a window-rendering break, just wrong meaning.",What are you doing!?{WAIT}{PAGE}{=130300031000a4bb}区｝,>What will you do?{WAIT}{PAGE}{=130300031000a4bb}区｝
low,story,08095B9A,"JP 'カチクメ………{n}クックックック！' = 'You livestock……' (contemptuous insult) + the laugh. EN keeps only 'Heh, heh, heh!' and drops the カチクメ insult clause. The identical カチクメ is rendered 'YOU LIVESTOCK...' at the sibling 08095CB8, confirming this is a dropped clause rather than intentional condensation. Token structure ({n}) preserved in fix.","Heh, heh, heh!","You livestock...{n}Heh, heh, heh!"
low,dialogue,08077D38,"JP has two clauses: '買いとれる物がないねえ{n}何か品物を持って来て下さいよ' ('Nothing I can buy' + 'please bring me some goods'). EN renders only the first ('You don't have anything!') and drops the second. All sibling weapon/junk-shop empty-inventory variants translate both clauses (08077EC2 'There's nothing to buy.{WAIT}{PAGE}Bring me some goods, dear.'; 080780B0 'Nothing I can buy.{WAIT}{PAGE}Bring me some goods.'), confirming this is an omission. Within budget (max 28).",You don't have anything!,Nothing I can buy.{n}Bring me some goods.
low,dialogue,08090E4E,"JP 'ああぁぁぁ！{n}オイラの仲魔がぁ！！' is purely a panicked exclamation ('Aaah! My ally!!') with no question. EN appends 'What did you do to him?!', which is invented — that accusatory question is the content of the sibling line 08090E72 ('ナカマニ何ヲシタ！！' = 'WHAT DID YOU DO TO MY FRIEND!?'). Hallucinated added sentence; the fix is within budget (max 17).",Aaaaah!! My pal!!{n}What did you do to him?!,Aaaaah!! My pal!!
low,dialogue,08092152,"JP 'キーホー！！{WAIT}{PAGE}調子くれてんじゃないぜー！' has the cry 'キーホー！！' only once, in window 1; window 2 is solely '調子くれてんじゃないぜー！'. EN duplicates 'Kee-Ho!' into window 2 ('Kee-Ho! You've gotta{n}be kidding!'). The repeated cry is invented. PAGE boundary preserved in fix.",Kee-Ho!{WAIT}{PAGE}Kee-Ho! You've gotta{n}be kidding!,Kee-Ho!{WAIT}{PAGE}You've gotta{n}be kidding!
low,dialogue,08094A50,"JP: げろげろー{n} = a retching/jeering grunt, no literal words. The EN appends ""You suck!"", which is verbatim the EN of the next separate entry 08094A5E (つまんねー！); confirmed duplicated into this entry with no break and no JP basis. Minor jeer line, but a genuine leaked duplicate. Stripped to the grunt only.",Bleagh!You suck! …,Bleagh! …{n}
